,quarter,clnt_id
1,2005-01-01,2966
4,2005-04-01,3856
7,2005-07-01,14327
11,2005-10-01,10325
15,2006-01-01,10205
19,2006-04-01,10821
23,2006-07-01,13223
27,2006-10-01,16239
31,2007-01-01,19824
35,2007-04-01,19057
39,2007-07-01,22617
43,2007-10-01,20441
47,2008-01-01,19104
51,2008-04-01,21407
55,2008-07-01,21565
59,2008-10-01,21820
63,2009-01-01,21604
67,2009-04-01,20707
71,2009-07-01,23993
75,2009-10-01,21833
79,2010-01-01,21474
83,2010-04-01,21976
87,2010-07-01,25975
91,2010-10-01,29731
95,2011-01-01,33571
99,2011-04-01,30091
103,2011-07-01,28475
107,2011-10-01,33566
111,2012-01-01,30737
115,2012-04-01,30300
119,2012-07-01,31674
123,2012-10-01,30753
127,2013-01-01,29876
131,2013-04-01,28941
135,2013-07-01,26055
139,2013-10-01,19398
143,2014-01-01,16315
147,2014-04-01,12196
151,2014-07-01,12831
155,2014-10-01,9790
159,2015-01-01,9845
163,2015-04-01,9529
167,2015-07-01,8176
171,2015-10-01,7840
175,2016-01-01,6065
179,2016-04-01,3626
183,2016-07-01,3109
187,2016-10-01,3238
191,2017-01-01,3168
195,2017-04-01,3326
199,2017-07-01,3257
203,2017-10-01,3652
207,2018-01-01,3381
211,2018-04-01,3309
215,2018-07-01,12961
219,2018-10-01,3679
223,2019-01-01,3384
227,2019-04-01,3588
231,2019-07-01,4005
235,2019-10-01,4109
239,2020-01-01,3803
243,2020-04-01,3930
247,2020-07-01,4019
251,2020-10-01,4102
255,2021-01-01,3738
259,2021-04-01,2657
263,2021-07-01,3599
267,2021-10-01,3729
271,2022-01-01,3084
