,quarter,npo_sum
2,2005-01-01,9910843.78
5,2005-04-01,15117306.01
8,2005-07-01,14071397.3
12,2005-10-01,14198061.280000001
16,2006-01-01,16463532.95
20,2006-04-01,17857683.48
24,2006-07-01,24730134.400000002
28,2006-10-01,24944975.200000003
32,2007-01-01,31830303.23
36,2007-04-01,31997143.9
40,2007-07-01,54377115.43
44,2007-10-01,68395550.38
48,2008-01-01,69364588.12
52,2008-04-01,64043077.89
56,2008-07-01,78386041.83
60,2008-10-01,65973121.69
64,2009-01-01,70846488.0
68,2009-04-01,64647801.61
72,2009-07-01,90545306.17999999
76,2009-10-01,77896979.9
80,2010-01-01,81727151.24
84,2010-04-01,98334652.59
88,2010-07-01,120983093.08999999
92,2010-10-01,105513506.14
96,2011-01-01,125203512.0
100,2011-04-01,109724651.21000001
104,2011-07-01,145742210.9
108,2011-10-01,118589070.04
112,2012-01-01,116964035.84
116,2012-04-01,136978397.5
120,2012-07-01,149349659.57
124,2012-10-01,202104210.41
128,2013-01-01,166812806.1
132,2013-04-01,205316005.47
136,2013-07-01,172687134.72
140,2013-10-01,172205996.4
144,2014-01-01,257979760.08999997
148,2014-04-01,191014697.84
152,2014-07-01,181289066.63
156,2014-10-01,181861142.3
160,2015-01-01,259797192.43
164,2015-04-01,251369408.0
168,2015-07-01,226788139.22000003
172,2015-10-01,218856913.87
176,2016-01-01,362024039.59999996
180,2016-04-01,278250655.15
184,2016-07-01,296221696.08
188,2016-10-01,303733140.96
192,2017-01-01,418179870.63
196,2017-04-01,333067125.82
200,2017-07-01,337152240.63
204,2017-10-01,314716411.23
208,2018-01-01,477133077.25
212,2018-04-01,359905836.32
216,2018-07-01,351881119.72
220,2018-10-01,331724506.61
224,2019-01-01,494772831.85999995
228,2019-04-01,372833449.38
232,2019-07-01,336935170.87
236,2019-10-01,328480196.28
240,2020-01-01,471785453.09999996
244,2020-04-01,399960225.46
248,2020-07-01,353897167.52
252,2020-10-01,327800917.15000004
256,2021-01-01,403198370.26
260,2021-04-01,471483987.78
264,2021-07-01,365391605.95
268,2021-10-01,377602184.65
272,2022-01-01,122234357.49
