,value
2022-04-01,3603.315535416812
2022-07-01,3576.3004523620507
2022-10-01,3546.4121094173565
2023-01-01,3516.5352466459835
2023-04-01,3486.6707723279023
2023-07-01,3456.806195656926
2023-10-01,3426.941565796106
2024-01-01,3397.076936604427
2024-04-01,3367.2123076401413
2024-07-01,3337.3476786719934
2024-10-01,3307.4830497028775
2025-01-01,3277.618420733783
2025-04-01,3247.7537917646914
2025-07-01,3217.8891627956004
2025-10-01,3188.024533826509
2026-01-01,3158.159904857418
2026-04-01,3128.2952758883266
2026-07-01,3098.4306469192356
2026-10-01,3068.566017950144
2027-01-01,3038.7013889810532
2027-04-01,3008.836760011962
2027-07-01,2978.972131042871
2027-10-01,2949.1075020737794
2028-01-01,2919.2428731046884
