,state_name,clnt_id,state_id
0,Адыгея,114,25
1,Алтай,24,57
2,Алтайский Край,851,11
3,Амурская Область,462,72
4,Архангельская Область,1168,52
5,Астраханская Область,318,24
6,Башкортостан,16299,82
7,Белгородская Область,1506,49
8,Брянская Область,422,47
9,Бурятия,320,0
10,Владимирская Область,290,19
11,Волгоградская Область,482,21
12,Вологодская Область,29117,79
13,Воронежская Область,855,3
14,Дагестан,583,62
15,Ивановская Область,240,44
16,Ингушетия,8,80
17,Иркутская Область,7919,71
18,Кабардино-Балкарская Республика,56,66
19,Калининградская Область,127,68
20,Республика Калмыкия,36,26
21,Калужская Область,243,39
22,Камчатский Край,77,8
23,Карачаево-Черкесская Республика,141,1
24,Республика Карелия,2081,70
25,Кемеровская Область,629,75
26,Кировская Область,521,35
27,Республика Коми,2272,64
28,Костромская Область,169,36
29,Краснодарский Край,4718,27
30,Красноярский Край,3093,60
31,Курганская Область,385,54
32,Курская Область,1334,55
33,Ленинградская Область,3129,32
34,Липецкая Область,27218,50
35,Магаданская Область,12,7
36,Марий Эл,233,41
37,Республика Мордовия,325,33
38,Москва,12005,12
39,Московская Область,3892,20
40,Мурманская Область,1187,29
41,Нижегородская Область,6646,53
42,Новгородская Область,309,51
43,Новосибирская Область,751,5
44,Омская Область,761,63
45,Оренбургская Область,4146,22
46,Орловская Область,1485,69
47,Пензенская Область,319,48
48,Пермский Край,1244,43
49,Приморский Край,518,9
50,Псковская Область,661,30
51,Ростовская Область,887,28
52,Рязанская Область,1823,58
53,Самарская Область,10720,23
54,Санкт-Петербург,3138,31
55,Саратовская Область,2060,67
56,Республика Саха (Якутия),52,61
57,Сахалинская Область,2102,2
58,Свердловская Область,11460,15
59,Северная Осетия - Алания,84,46
60,Смоленская Область,478,42
61,Ставропольский Край,1397,10
62,Тамбовская Область,798,14
63,Татарстан,780,34
64,Тверская Область,245,37
65,Томская Область,736,4
66,Тульская Область,183,38
67,Тыва,7,13
68,Тюменская Область,17346,18
69,Удмуртская Республика,5949,78
70,Ульяновская Область,592,40
71,Хабаровский Край,1738,74
72,Республика Хакасия,119,76
73,Челябинская Область,3889,81
74,Чеченская Республика,677,65
76,Чувашия,380,45
77,Ярославская Область,561,77
